file,best_round,best_bcr,best_tp,best_tn,best_fp,best_fn,best_states,reference_states,best_state_gap,best_train_pos,best_train_neg,best_min_state_conf,best_avg_state_conf
automaton_10_2_5_5~9.txt,0,1.000000,200,200,0,0,10,10,0,150,150,0.968750,0.968750
automaton_10_2_5_6~0.txt,0,1.000000,200,200,0,0,10,10,0,150,150,0.937500,0.937500
automaton_10_2_5_6~1.txt,0,1.000000,200,200,0,0,10,10,0,150,150,0.937500,0.937500
automaton_10_2_5_6~2.txt,0,0.932500,192,181,19,8,18,10,8,150,150,0.000000,0.000000
automaton_10_2_5_6~3.txt,0,1.000000,200,200,0,0,10,10,0,150,150,0.937500,0.937500
automaton_10_2_5_6~4.txt,1,1.000000,200,200,0,0,10,10,0,150,158,0.937500,0.937500
automaton_10_2_5_6~5.txt,0,0.972500,195,194,6,5,18,10,8,150,150,0.000000,0.000000
automaton_10_2_5_6~6.txt,0,1.000000,200,200,0,0,10,10,0,150,150,0.937500,0.937500
automaton_10_2_5_6~7.txt,0,1.000000,200,200,0,0,10,10,0,150,150,0.937500,0.937500
automaton_10_2_5_6~8.txt,1,1.000000,200,200,0,0,10,10,0,151,157,0.937500,0.937500
automaton_10_2_5_6~9.txt,1,1.000000,200,200,0,0,10,10,0,150,156,0.937500,0.937500
automaton_10_2_5_7~0.txt,0,0.987500,198,197,3,2,15,10,5,150,150,0.000000,0.000000
automaton_10_2_5_7~1.txt,0,0.925000,189,181,19,11,25,10,15,150,150,0.000000,0.000000
automaton_10_2_5_7~2.txt,0,0.990000,200,196,4,0,11,10,1,150,150,1.000000,1.000000
automaton_10_2_5_7~3.txt,0,0.942500,185,192,8,15,18,10,8,150,150,0.500000,0.500000
automaton_10_2_5_7~4.txt,0,1.000000,200,200,0,0,11,10,1,150,150,1.000000,1.000000
automaton_10_2_5_7~5.txt,0,0.970000,198,190,10,2,13,10,3,150,150,0.000000,0.000000
automaton_10_2_5_7~6.txt,0,1.000000,200,200,0,0,10,10,0,150,150,0.750000,0.750000
automaton_10_2_5_7~7.txt,1,0.982500,196,197,3,4,13,10,3,150,157,0.937500,0.937500
automaton_10_2_5_7~8.txt,0,0.867500,171,176,24,29,22,10,12,150,150,0.000000,0.000000
automaton_10_2_5_7~9.txt,0,0.895000,171,187,13,29,23,10,13,150,150,0.000000,0.000000
automaton_10_2_5_8~0.txt,0,1.000000,200,200,0,0,10,10,0,150,150,0.968750,0.968750
automaton_10_2_5_8~1.txt,1,0.985000,200,194,6,0,11,10,1,150,156,1.000000,1.000000
automaton_10_2_5_8~2.txt,0,1.000000,200,200,0,0,10,10,0,150,150,0.968750,0.968750
automaton_10_2_5_8~3.txt,0,0.985000,197,197,3,3,16,10,6,150,150,0.000000,0.000000
automaton_10_2_5_8~4.txt,1,0.977500,193,198,2,7,14,10,4,150,159,0.875000,0.875000
automaton_10_2_5_8~5.txt,0,0.822500,157,172,28,43,35,10,25,150,150,0.000000,0.000000
automaton_10_2_5_8~6.txt,0,0.970000,193,195,5,7,17,10,7,150,150,0.750000,0.750000
automaton_10_2_5_8~7.txt,0,0.995000,200,198,2,0,11,10,1,150,150,1.000000,1.000000
automaton_10_2_5_8~8.txt,0,0.990000,198,198,2,2,14,10,4,150,150,0.875000,0.875000
automaton_10_2_5_8~9.txt,1,0.990000,200,196,4,0,10,10,0,150,155,1.000000,1.000000
automaton_10_2_5_9~0.txt,0,0.972500,192,197,3,8,9,10,1,150,150,0.000000,0.000000
automaton_10_2_5_9~1.txt,0,0.977500,192,199,1,8,10,10,0,150,150,0.500000,0.500000
automaton_10_2_5_9~2.txt,0,0.985000,195,199,1,5,9,10,1,150,150,0.000000,0.000000
automaton_10_2_5_9~3.txt,0,0.982500,193,200,0,7,9,10,1,150,150,0.500000,0.500000
automaton_10_2_5_9~4.txt,0,0.982500,195,198,2,5,9,10,1,150,150,0.500000,0.500000
automaton_10_2_5_9~5.txt,0,0.987500,195,200,0,5,8,10,2,150,150,0.000000,0.000000
automaton_10_2_5_9~6.txt,1,0.987500,195,200,0,5,10,10,0,150,153,0.000000,0.000000
automaton_10_2_5_9~7.txt,0,0.980000,192,200,0,8,8,10,2,150,150,0.500000,0.500000
automaton_10_2_5_9~8.txt,0,0.992500,199,198,2,1,9,10,1,150,150,0.500000,0.500000
automaton_10_2_5_9~9.txt,0,0.977500,193,198,2,7,9,10,1,150,150,0.875000,0.875000
automaton_5_2_2_0~0.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_0~1.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_0~2.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_0~3.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
automaton_5_2_2_0~4.txt,0,1.000000,100,100,0,0,5,5,0,75,75,1.000000,1.000000
