file,TP,TN,FP,FN,BCR,N,train_pos,train_neg,eval_pos,eval_neg,seconds
automaton_10_2_5_7~1.txt,186,180,20,14,0.915000,400,150,150,200,200,3.474
automaton_10_2_5_7~2.txt,200,196,4,0,0.990000,400,150,150,200,200,2.002
automaton_10_2_5_7~3.txt,192,192,8,8,0.960000,400,150,150,200,200,2.173
automaton_10_2_5_7~4.txt,200,200,0,0,1.000000,400,150,150,200,200,2.411
automaton_10_2_5_7~5.txt,193,190,10,7,0.957500,400,150,150,200,200,1.945
automaton_10_2_5_7~6.txt,200,200,0,0,1.000000,400,150,150,200,200,2.073
automaton_10_2_5_7~7.txt,174,178,22,26,0.880000,400,150,150,200,200,3.264
automaton_10_2_5_7~8.txt,171,176,24,29,0.867500,400,150,150,200,200,2.467
automaton_10_2_5_7~9.txt,171,187,13,29,0.895000,400,150,150,200,200,3.062
automaton_10_2_5_8~0.txt,200,200,0,0,1.000000,400,150,150,200,200,2.564
automaton_10_2_5_8~1.txt,168,178,22,32,0.865000,400,150,150,200,200,5.391
automaton_10_2_5_8~2.txt,200,200,0,0,1.000000,400,150,150,200,200,2.737
automaton_10_2_5_8~3.txt,197,196,4,3,0.982500,400,150,150,200,200,2.969
automaton_10_2_5_8~4.txt,161,156,44,39,0.792500,400,150,150,200,200,10.389
automaton_10_2_5_8~5.txt,151,170,30,49,0.802500,400,150,150,200,200,5.768
automaton_10_2_5_8~6.txt,197,195,5,3,0.980000,400,150,150,200,200,2.659
automaton_10_2_5_8~7.txt,200,198,2,0,0.995000,400,150,150,200,200,2.859
automaton_10_2_5_8~8.txt,198,198,2,2,0.990000,400,150,150,200,200,3.507
automaton_10_2_5_8~9.txt,190,182,18,10,0.930000,400,150,150,200,200,4.319
automaton_10_2_5_9~0.txt,192,197,3,8,0.972500,400,150,150,200,200,1.436
automaton_10_2_5_9~1.txt,192,199,1,8,0.977500,400,150,150,200,200,1.402
automaton_10_2_5_9~2.txt,195,199,1,5,0.985000,400,150,150,200,200,1.143
automaton_10_2_5_9~3.txt,193,200,0,7,0.982500,400,150,150,200,200,1.222
automaton_10_2_5_9~4.txt,195,198,2,5,0.982500,400,150,150,200,200,1.306
automaton_10_2_5_9~5.txt,195,200,0,5,0.987500,400,150,150,200,200,1.668
automaton_10_2_5_9~6.txt,191,167,33,9,0.895000,400,150,150,200,200,6.353
automaton_10_2_5_9~7.txt,192,200,0,8,0.980000,400,150,150,200,200,1.266
automaton_10_2_5_9~8.txt,200,198,2,0,0.995000,400,150,150,200,200,1.592
automaton_10_2_5_9~9.txt,193,198,2,7,0.977500,400,150,150,200,200,1.344
automaton_5_2_2_0~0.txt,100,100,0,0,1.000000,200,75,75,100,100,0.015
